Feature,Promoted,Demoted,Difference,PercentDifference,AbsDifference
f4,77638.88633518634,46760.31538995284,30878.5709452335,66.0358483207926,30878.5709452335
f17,19640.813229571984,27332.52042792991,-7691.707198357926,-28.141229121695293,7691.707198357926
f21,41226.840801414546,47949.80252832413,-6722.961726909583,-14.020832980361712,6722.961726909583
f18,18410.224294268606,24310.965046684225,-5900.740752415619,-24.271931373700944,5900.740752415619
f6,1013.4809005865803,4730.818495493266,-3717.3375949066854,-78.57704958344829,3717.3375949066854
f7,4510.02075854552,5630.67705507338,-1120.65629652786,-19.902691729018997,1120.65629652786
f1,1169.41638138937,113.25630671516319,1056.1600746742067,932.5397457383307,1056.1600746742067
f10,519.3064952355301,1140.0993244648037,-620.7928292292736,-54.45076721896069,620.7928292292736
f5,3163.167849018863,3518.4562565833667,-355.2884075645038,-10.09784921724479,355.2884075645038
f9,151.08689412940683,452.0576836790258,-300.970789549619,-66.57796126817237,300.970789549619
f8,148.36359735081103,429.49237286366633,-281.1287755128553,-65.45605772656968,281.1287755128553
f14,0.23715034053684633,109.88173701854636,-109.64458667800952,-99.78417674586194,109.64458667800952
f16,24.957456962396435,55.18151032736265,-30.224053364966217,-54.77206619692525,30.224053364966217
f12,25.688367152751653,41.49041332866528,-15.802046175913624,-38.08601772833187,15.802046175913624
f15,0.7400608017344991,5.996591478696742,-5.256530676962243,-87.65864234100971,5.256530676962243
f22,2.7114712788500084,5.206809347632651,-2.495338068782643,-47.9245138852104,2.495338068782643
f13,0.008813894845992506,1.0469573934837093,-1.0381434986377167,-99.1581419739857,1.0381434986377167
f19,1.690107604304172,1.98001800180018,-0.289910397496008,-14.64180614683448,0.289910397496008
f3,0.29534,0.02978,0.26556,891.7394224311619,0.26556
f2,0.48692,0.28122,0.2057,73.14557997297489,0.2057
f20,1.1614310296530472,1.256426670934443,-0.0949956412813957,-7.5607787926648,0.0949956412813957
f23,1.1831706183170618,1.2676825761932144,-0.08451195787615262,-6.666649795719184,0.08451195787615262
f11,0.054878250126341746,0.011973487486417965,0.04290476263992378,358.33137745867674,0.04290476263992378
