Feature,Promoted,Demoted,Difference,PercentDifference,AbsDifference
f21,46061.481355787044,105500.78734696658,-59439.305991179535,-56.34015393240434,59439.305991179535
f7,13705.356850267633,61969.0764698856,-48263.719619617965,-77.88355478086257,48263.719619617965
f4,131076.35278902392,102841.97841303278,28234.374375991145,27.45413381935981,28234.374375991145
f6,4773.218319990032,21805.585037045603,-17032.36671705557,-78.1101111853647,17032.36671705557
f1,10487.526533061864,56.081966709341344,10431.444566352522,18600.35440699871,10431.444566352522
f10,2426.5486145193127,9613.820535116798,-7187.271920597485,-74.75978872649267,7187.271920597485
f17,22419.013303571428,29315.331597222223,-6896.318293650795,-23.52461295134815,6896.318293650795
f18,20843.159022286127,26853.646423320333,-6010.487401034206,-22.38238824733523,6010.487401034206
f9,861.1287125905806,3493.7346576279997,-2632.605945037419,-75.35220052529041,2632.605945037419
f8,796.0705264151509,3271.0560781424006,-2474.98555172725,-75.66319539018019,2474.98555172725
f14,28.149803721416227,95.56567548999999,-67.41587176858377,-70.54402265553826,67.41587176858377
f5,3526.0544074923114,3547.5835967506964,-21.52918925838503,-0.6068691172803948,21.52918925838503
f12,25.260446852295157,35.69074409424787,-10.430297241952712,-29.22409578912007,10.430297241952712
f16,58.19710969111221,63.5124817104922,-5.315372019379993,-8.369019563129271,5.315372019379993
f15,3.6379455853393883,6.22652,-2.5885744146606116,-41.573373484074764,2.5885744146606116
f13,0.38474058594220956,1.03684,-0.6520994140577905,-62.89296459027338,0.6520994140577905
f19,1.8357701462087725,1.593295597735864,0.2424745484729085,15.218428320361545,0.2424745484729085
f3,0.16008,0.0002,0.15988,79940.0,0.15988
f22,4.871115302994577,4.810063495866778,0.06105180712779834,1.2692515843139975,0.06105180712779834
f20,1.1778013361603392,1.1250450090018003,0.05275632715853895,4.68926369491183,0.05275632715853895
f11,0.047035383986521725,0.0030811290784557906,0.04395425490806593,1426.5632431762663,0.04395425490806593
f23,1.3062574190266236,1.3362151777137368,-0.029957758687113145,-2.2419861102289564,0.029957758687113145
f2,0.03202,0.04032,-0.008300000000000002,-20.585317460317462,0.008300000000000002
