ID,Prediction_baseline,BaselineRank,Prediction_experiment,ExperimentRank,RankShift
274674,0.393827542693531,119817,0.4770282237352201,112627,7190
356114,0.406673712978555,118246,0.4911192591575872,111081,7165
43444,0.404208926066848,118591,0.4877429259077308,111450,7141
316028,0.398512396569168,119296,0.4806712824146635,112203,7093
112305,0.403575101806765,118659,0.4862667893907261,111625,7034
368007,0.400248553410806,119056,0.4824946083933114,112026,7030
26665,0.412657936368126,117531,0.4955146534508296,110610,6921
400630,0.411894581814931,117638,0.494245871456952,110742,6896
163292,0.485386699204945,109301,0.5760244265598874,102450,6851
404740,0.475218919023416,110439,0.5639367901941422,103604,6835
144495,0.42794620623175,115744,0.5119891455266065,108912,6832
256741,0.396385991524984,119536,0.4762899485681069,112705,6831
239367,0.39609360633529,119572,0.4755717698264312,112786,6786
480627,0.408842304317077,118008,0.4894905712351673,111251,6757
323209,0.413654677044104,117419,0.4946056954717507,110699,6720
10743,0.415724630490158,117181,0.4966879806504333,110483,6698
222434,0.449311095996123,113299,0.5345189199938777,106604,6695
211810,0.406385009590207,118277,0.4864286655023189,111606,6671
347464,0.400012057816555,119088,0.4784848592675817,112451,6637
324702,0.525219679597415,105151,0.6156543049513514,98516,6635
393684,0.500873118590696,107629,0.5902788382144525,100996,6633
287759,0.395121170509115,119679,0.4731939723554872,113052,6627
372757,0.393106933472678,119896,0.4711668404890669,113290,6606
299314,0.401365996288134,118910,0.4797667166083177,112307,6603
23317,0.419562795627603,116749,0.4998377537992683,110155,6594
458172,0.409940190161374,117878,0.4889172184232092,111323,6555
389716,0.410338749364831,117833,0.4892442367946222,111284,6549
202744,0.470517331736979,110929,0.5557945781355316,104435,6494
306357,0.433220655692064,115167,0.5140615693477028,108673,6494
232180,0.461928046306862,111865,0.546321304437509,105375,6490
180680,0.426500509776323,115899,0.5067379864038203,109422,6477
42945,0.462062235454607,111848,0.5461049984078457,105404,6444
247710,0.413189449264861,117472,0.4915570958776893,111031,6441
498555,0.427320841887751,115802,0.5074269129239931,109361,6441
173206,0.395057896738807,119690,0.4714584250865024,113255,6435
466325,0.393246636002327,119883,0.469628116748276,113469,6414
138940,0.420567147402538,116620,0.4990414495834663,110234,6386
182583,0.583718390203171,99346,0.6711694776049273,92972,6374
248023,0.441675495745858,114174,0.5224439110663559,107802,6372
65383,0.412265865191321,117583,0.4897590920428599,111224,6359
477263,0.421979758824989,116434,0.5004346940576787,110076,6358
331846,0.482808215470296,109565,0.5678171635123537,103227,6338
436362,0.469597307055075,111033,0.552979074905956,104700,6333
152115,0.404717848112273,118505,0.480886299843154,112179,6326
471165,0.450011998578188,113214,0.5317195583240826,106890,6324
486734,0.630252745859779,95046,0.7199217210402717,88726,6320
252951,0.392593234623611,119957,0.4679065899355165,113644,6313
246376,0.642472442879528,93832,0.73370107435459,87520,6312
233360,0.519475172375158,105707,0.6065291096315986,99399,6308
446402,0.411344545949095,117712,0.4880502434853239,111411,6301
427788,0.474798170328395,110480,0.5582173585874528,104185,6295
164242,0.446109256631386,113677,0.5267204073116436,107382,6295
373800,0.392174319317138,119999,0.467314838598077,113711,6288
44368,0.569995491625299,100690,0.6563696224377332,94406,6284
161147,0.406178780903787,118302,0.4825504686251344,112019,6283
117232,0.454405031202328,112707,0.536193121233898,106425,6282
290712,0.427725825588625,115763,0.5061572265292797,109485,6278
208416,0.434372173910258,115028,0.5132843079664384,108768,6260
