ID,Prediction_baseline,BaselineRank,Prediction_experiment,ExperimentRank,RankShift
274674,0.393827542693531,119817,0.4781560440222636,112330,7487
356114,0.406673712978555,118246,0.4924127662864928,110784,7462
43444,0.404208926066848,118591,0.489004245625062,111137,7454
112305,0.403575101806765,118659,0.4877654740683973,111270,7389
316028,0.398512396569168,119296,0.4818802111210168,111912,7384
368007,0.400248553410806,119056,0.4839571756586416,111696,7360
163292,0.485386699204945,109301,0.578263179722612,102081,7220
26665,0.412657936368126,117531,0.4969058821628418,110330,7201
400630,0.411894581814931,117638,0.4956348242975137,110478,7160
256741,0.396385991524984,119536,0.4775166824036971,112397,7139
144495,0.42794620623175,115744,0.5136818523971015,108607,7137
404740,0.475218919023416,110439,0.5660839675997248,103322,7117
239367,0.39609360633529,119572,0.4768030594799336,112475,7097
211810,0.406385009590207,118277,0.4877883422222051,111265,7012
222434,0.449311095996123,113299,0.5363607601626547,106303,6996
10743,0.415724630490158,117181,0.4981628314409003,110191,6990
323209,0.413654677044104,117419,0.4960497536335784,110440,6979
393684,0.500873118590696,107629,0.5927124723250163,100659,6970
287759,0.395121170509115,119679,0.4744763389989543,112729,6950
324702,0.525219679597415,105151,0.6183244937186918,98212,6939
347464,0.400012057816555,119088,0.4797865953208574,112159,6929
372757,0.393106933472678,119896,0.4722361112108003,112974,6922
23317,0.419562795627603,116749,0.5013725124969238,109831,6918
480627,0.408842304317077,118008,0.489440418192511,111099,6909
299314,0.401365996288134,118910,0.4810861217978702,112003,6907
458172,0.409940190161374,117878,0.4903413086262311,110994,6884
389716,0.410338749364831,117833,0.4906750956653162,110961,6872
202744,0.470517331736979,110929,0.5578949170425478,104115,6814
306357,0.433220655692064,115167,0.51575859848774,108365,6802
232180,0.461928046306862,111865,0.5483323274404562,105068,6797
173206,0.395057896738807,119690,0.4727380515314011,112915,6775
466325,0.393246636002327,119883,0.4709004710202674,113124,6759
498555,0.427320841887751,115802,0.5090625401181406,109044,6758
42945,0.462062235454607,111848,0.5481247791255404,105091,6757
247710,0.413189449264861,117472,0.4930359031197605,110718,6754
180680,0.426500509776323,115899,0.5079380064177307,109160,6739
138940,0.420567147402538,116620,0.5008216940548174,109884,6736
182583,0.583718390203171,99346,0.6745121051239888,92636,6710
65383,0.412265865191321,117583,0.4912402374615421,110896,6687
477263,0.421979758824989,116434,0.502033076188517,109752,6682
246376,0.642472442879528,93832,0.7375715568732185,87158,6674
233360,0.519475172375158,105707,0.6091998027054827,99044,6663
486734,0.630252745859779,95046,0.7236880595680495,88393,6653
248023,0.441675495745858,114174,0.5242469207471109,107521,6653
152115,0.404717848112273,118505,0.4822964893480758,111857,6648
471165,0.450011998578188,113214,0.5336174282168726,106568,6646
252951,0.392593234623611,119957,0.4691776227719352,113317,6640
331846,0.482808215470296,109565,0.5698851038570532,102928,6637
436362,0.469597307055075,111033,0.5550881170731675,104397,6636
446402,0.411344545949095,117712,0.4895337614570992,111089,6623
427788,0.474798170328395,110480,0.5603939834320425,103860,6620
90689,0.514153294031666,106280,0.6028382187410721,99664,6616
38272,0.493394199886734,108413,0.5810241977893947,101806,6607
161147,0.406178780903787,118302,0.4839438738591075,111698,6604
373800,0.392174319317138,119999,0.4685845867302765,113398,6601
290712,0.427725825588625,115763,0.5078248851412633,109170,6593
470025,0.424644555226256,116113,0.5041754575302614,109528,6585
246989,0.501715025084029,107547,0.5895113875304944,100967,6580
44368,0.569995491625299,100690,0.6595810778006904,94111,6579
208416,0.434372173910258,115028,0.5150226300307792,108458,6570
117232,0.454405031202328,112707,0.5381424997806531,106139,6568
84826,0.574543228999614,100256,0.6635434049713822,93688,6568
83693,0.634205040371676,94665,0.7269427138152704,88104,6561
470457,0.491379845955852,108642,0.5781367347455749,102097,6545
390871,0.590803236302618,98667,0.6802308871544932,92134,6533
210580,0.496883221534962,108036,0.5842326269029123,101504,6532
180632,0.43568544768454,114875,0.5158971961272171,108350,6525
457866,0.403127440343689,118716,0.4794854373202858,112192,6524
65851,0.414444385610708,117327,0.4921612212169,110805,6522
262675,0.447065543040994,113551,0.5290916729342932,107035,6516
194099,0.576791424840162,100028,0.6653072215336809,93514,6514
37712,0.50235017586541,107475,0.5895180360403055,100966,6509
434191,0.630709431272809,94996,0.7225270775055409,88487,6509
445680,0.431102158812342,115399,0.5106575763839015,108902,6497
47339,0.643610696416715,93724,0.7367038001422954,87228,6496
60988,0.646160038024387,93483,0.7393583477815602,86999,6484
144452,0.485238078021367,109312,0.5708770508288286,102831,6481
40109,0.395742853606448,119604,0.4708713394784205,113127,6477
164242,0.446109256631386,113677,0.5273816701172479,107211,6466
125704,0.614952768578703,96395,0.7059762950489519,89938,6457
279813,0.427875122367361,115750,0.5065513229441834,109297,6453
470310,0.475211707062753,110440,0.559237723149689,103988,6452
109321,0.448989722394045,113327,0.5306362240971872,106877,6450
17327,0.466981825552285,111309,0.5504429704354414,104861,6448
267811,0.651709099021824,92957,0.7453737446923304,86510,6447
86464,0.421179028971075,116543,0.4990322644304051,110098,6445
179608,0.461880622795343,111869,0.5447594337500863,105425,6444
301358,0.43582471289598,114851,0.5153524341561744,108421,6430
348416,0.453634273948536,112791,0.5356816286183814,106368,6423
134811,0.503772536835963,107319,0.5902723952117156,100896,6423
316083,0.423095716884896,116303,0.5008420729361059,109881,6422
72678,0.577293178829656,99975,0.6649508195471026,93554,6421
21876,0.596729626041104,98116,0.6855462776318211,91696,6420
403306,0.423949793160961,116198,0.5018215266146797,109779,6419
357056,0.663888717872318,91818,0.7581175728752745,85405,6413
115229,0.631261624893344,94955,0.7217336784839788,88547,6408
484054,0.608206133343274,97052,0.6974501439238351,90657,6395
436527,0.438418366650407,114529,0.5180472853722436,108136,6393
296042,0.393000895879257,119908,0.4675518422573956,113517,6391
5579,0.528446311149374,104835,0.6157171406072725,98449,6386
22270,0.445547949289484,113748,0.5257988168389368,107367,6381
433799,0.455099449100163,112624,0.5370192195341409,106245,6379
441420,0.616372893400684,96278,0.7064154224876047,89901,6377
133262,0.432537960003022,115267,0.5107418616909544,108892,6375
12068,0.480490322572664,109836,0.5645740794080402,103463,6373
38953,0.398421046795297,119304,0.472556861551934,112931,6373
414847,0.599898142806623,97816,0.688490359926084,91446,6370
241834,0.405887948210453,118350,0.4811880723083399,111989,6361
357412,0.591926353711115,98563,0.6794834649461702,92208,6355
148532,0.401004958685541,118958,0.4756301824850734,112604,6354
300515,0.425186128911532,116058,0.5024022893930509,109705,6353
257422,0.56267949044226,101420,0.6499061672605929,95076,6344
486979,0.598324314884274,97970,0.6863656047601235,91628,6342
304995,0.41443146182383,117329,0.4903765153187395,110990,6339
408397,0.393151803231439,119892,0.4672681577613585,113554,6338
38181,0.42063405280314,116610,0.4973983697901143,110277,6333
306510,0.456169937263242,112509,0.5378125295007185,106177,6332
109533,0.432594324271092,115256,0.510374643945494,108928,6328
99837,0.396884774330863,119473,0.4706743314513252,113146,6327
8735,0.517537529685997,105930,0.6036470719378632,99603,6327
190964,0.42910160609147,115615,0.506629495686837,109289,6326
381027,0.399625892939244,119145,0.473543208935077,112825,6320
215408,0.514713054581607,106224,0.6004505576412584,99907,6317
306502,0.644624267392199,93642,0.7356624723544307,87326,6316
179476,0.514186913220086,106278,0.5998851265444028,99964,6314
237896,0.430910006389325,115427,0.5084224688400799,109115,6312
11449,0.415737946739683,117179,0.4915566917728598,110870,6309
303339,0.549140728134578,102799,0.6360060560062875,96491,6308
294590,0.61290047552338,96595,0.7021535391207387,90288,6307
62800,0.460557710392247,112031,0.5419632174105066,105724,6307
74632,0.538040187322238,103890,0.6245938733009674,97585,6305
312522,0.420361613867642,116644,0.496836939616511,110340,6304
129514,0.603778724193416,97475,0.6914702547508724,91172,6303
133127,0.407195476715345,118179,0.4821572977698593,111877,6302
