ID,Prediction_baseline,BaselineRank,Prediction_experiment,ExperimentRank,RankShift
43054,0.422888817882482,116323,1.0826449380157852,74101,42222
339765,0.414743743889825,117303,1.065324155160835,75276,42027
171465,0.419623464329801,116735,1.073209893755188,74752,41983
397556,0.399000010779783,119223,1.0241936260726408,78142,41081
94672,0.398380625968336,119309,1.019978409525168,78446,40863
81445,0.431660048771536,115338,1.0771324670192703,74477,40861
400615,0.421533433850413,116504,1.0596583749885506,75677,40827
263712,0.411586602770885,117680,1.041265586707227,76965,40715
189434,0.43934264597435,114430,1.087842226369797,73764,40666
48941,0.420077226677878,116686,1.0521702531079375,76194,40492
92360,0.409370033184624,117941,1.0328360234457543,77521,40420
387917,0.444429884984674,113872,1.0923360398288238,73485,40387
317877,0.417449783044834,117008,1.0452794666278158,76665,40343
351226,0.44460462365029,113852,1.0903402250139165,73617,40235
37540,0.41828139253591,116902,1.0451602287528912,76678,40224
97622,0.421859869332537,116456,1.0490971887374771,76413,40043
319945,0.433887360749592,115092,1.068099688767112,75080,40012
189848,0.399041366014348,119218,1.0079133109317786,79287,39931
164732,0.470198259070633,110966,1.127016009000645,71258,39708
481624,0.424086163936349,116181,1.0471321134729723,76539,39642
67700,0.40086715145056,118973,1.0067939128774988,79388,39585
335621,0.444156136349658,113906,1.0791526202141513,74347,39559
19378,0.39798156765616,119352,0.9997795855567084,79891,39461
271148,0.438515364041689,114511,1.0661923006778766,75213,39298
471308,0.405443190917358,118400,1.0100557711260598,79123,39277
300432,0.448772121027045,113349,1.080915922299254,74215,39134
384716,0.432755546179748,115231,1.0503633234917114,76317,38914
370738,0.396212529756023,119555,0.9892810862402684,80672,38883
224651,0.41028204434497,117838,1.0119508079905652,78991,38847
396573,0.405559880302678,118390,1.0045170015495193,79552,38838
341437,0.400079467753013,119080,0.9933242771178068,80373,38707
249550,0.409429845065989,117931,1.0082157298464824,79258,38673
41278,0.418826855566807,116846,1.0227555303238671,78236,38610
482225,0.39430429635065,119765,0.9822283457407917,81195,38570
307983,0.500368910268345,107686,1.1595672254111848,69129,38557
456208,0.45826985098387,112274,1.0878934808204463,73763,38511
49978,0.51872336048658,105783,1.1886461334319087,67297,38486
204078,0.418477267145054,116882,1.0201721005137607,78430,38452
394462,0.488368592480683,108963,1.1381184583363235,70551,38412
484315,0.399882742337214,119104,0.9890817840460564,80700,38404
338472,0.411561649043368,117685,1.0071036907764466,79368,38317
280917,0.489161211771826,108875,1.1377293505146715,70580,38295
152517,0.560242012483454,101641,1.253780723819122,63408,38233
499086,0.479799159469777,109898,1.120745566877468,71674,38224
252357,0.465166286281587,111513,1.0949112661378355,73306,38207
265756,0.409680886652808,117905,1.002435766070297,79723,38182
232956,0.468088318266185,111189,1.098708405328503,73025,38164
104692,0.431414864812594,115369,1.036935882350418,77253,38116
110675,0.478847873862868,110013,1.116803017815183,71910,38103
491794,0.446170365504025,113669,1.0608339848212969,75591,38078
266982,0.476110605690987,110324,1.1113844161168194,72278,38046
338051,0.424013440563303,116192,1.0237607639283322,78168,38024
332946,0.455280784229639,112603,1.075749075423325,74595,38008
438072,0.429068179429832,115620,1.0308476921775322,77645,37975
189748,0.399945145329622,119094,0.982957005675119,81136,37958
69238,0.502160968026595,107501,1.1528136551908426,69547,37954
276996,0.463012372534631,111750,1.0871760860417783,73801,37949
472469,0.521363968570514,105510,1.1840410290448462,67580,37930
363911,0.425175652349779,116059,1.0243699477269568,78130,37929
349890,0.444062274305361,113915,1.05536152069844,75990,37925
212093,0.426749936372514,115865,1.0260598997021868,77995,37870
372495,0.526208981540681,105049,1.1890683780894555,67274,37775
162083,0.474837161871143,110475,1.103068357570176,72776,37699
131986,0.435962541342739,114833,1.0384949534794596,77147,37686
164914,0.44045715082497,114296,1.045244562904035,76669,37627
389393,0.457855796461169,112329,1.0737963680582228,74713,37616
27658,0.400583561682039,119011,0.978931770806465,81427,37584
262639,0.420632302206657,116611,1.0113937193061535,79031,37580
31396,0.450632984815349,113143,1.0612095827352974,75565,37578
318350,0.492352195174055,108520,1.1319556866236942,70950,37570
430647,0.405406788802941,118407,0.9868888007212584,80860,37547
142684,0.477411520857778,110183,1.1048899565763692,72673,37510
183414,0.552137513916227,102483,1.2269758809421325,64977,37506
