Feature,Promoted,Demoted,Difference,PercentDifference,AbsDifference
f4,93559.62107478896,49069.78911527793,44489.83195951103,90.66644214629217,44489.83195951103
f17,19429.411058722675,27083.664891143522,-7654.253832420847,-28.261514323062762,7654.253832420847
f21,38870.23227489263,46043.20279255956,-7172.97051766693,-15.578782714103589,7172.97051766693
f18,18201.160621226976,24141.77309264618,-5940.612471419205,-24.607192059264168,5940.612471419205
f6,1308.0404505053862,5118.700398770236,-3810.6599482648494,-74.44584858258862,3810.6599482648494
f1,1578.3112504240041,140.09717868207488,1438.2140717419293,1026.583179812418,1438.2140717419293
f10,707.9029918796564,1270.887533311569,-562.9845414319127,-44.29853363695654,562.9845414319127
f7,5687.210582540692,6242.4380230649695,-555.2274405242779,-8.894400528652222,555.2274405242779
f5,3084.327824564577,3574.3245962593974,-489.9967716948204,-13.70879332581075,489.9967716948204
f9,208.9472860086366,503.6912187869631,-294.74393277832644,-58.51679000641638,294.74393277832644
f8,202.6475929739477,476.3354509707533,-273.68785799680563,-57.4569575787484,273.68785799680563
f14,0.009327172605275337,117.735298272,-117.72597109939471,-99.99207784518137,117.72597109939471
f16,27.064188478822125,57.12333554852804,-30.059147069705915,-52.621484339214994,30.059147069705915
f12,25.682145293690443,42.17184680990651,-16.48970151621607,-39.101207946962624,16.48970151621607
f15,0.6779731605738084,6.34006,-5.662086839426192,-89.30651822579269,5.662086839426192
f22,2.7611838554832846,5.335120083536373,-2.5739362280530886,-48.24514139796006,2.5739362280530886
f13,0.0025682554372975473,1.1213,-1.1187317445627025,-99.77095733190961,1.1187317445627025
f3,0.33612,0.03386,0.30226,892.6757235676314,0.30226
f19,1.76146,2.0149408964537874,-0.25348089645378735,-12.580066090271096,0.25348089645378735
f2,0.4109,0.24046,0.17043999999999998,70.88081177742659,0.17043999999999998
f23,1.1844036697247706,1.2728180262407303,-0.08841435651595964,-6.946346979158643,0.08841435651595964
f20,1.1768989177619076,1.2616470964773658,-0.08474817871545826,-6.71726499050986,0.08474817871545826
f11,0.06173950141176944,0.016110659069889014,0.04562884234188043,283.2214507422679,0.04562884234188043
