Feature,Promoted,Demoted,Difference,PercentDifference,AbsDifference
f4,81158.18935211086,47555.71081096021,33602.478541150645,70.65918681086404,33602.478541150645
f17,19481.419988827383,27137.888422315536,-7656.468433488153,-28.213206253704783,7656.468433488153
f21,39909.21062621484,46844.19501495595,-6934.984388741112,-14.804362390104,6934.984388741112
f18,18258.339322127307,24137.639396198287,-5879.3000740709795,-24.357394596743283,5879.3000740709795
f6,1071.9593692682927,4859.327784237435,-3787.3684149691417,-77.94017162732904,3787.3684149691417
f7,4697.017390842725,5841.3966333714725,-1144.3792425287475,-19.590849831887674,1144.3792425287475
f1,1268.5979790871152,127.51619295318734,1141.0817861339278,894.8524573289543,1141.0817861339278
f10,554.4239156826463,1185.5078484860326,-631.0839328033862,-53.23321423888672,631.0839328033862
f5,3136.182209497359,3531.517996903147,-395.33578740578787,-11.194500148447922,395.33578740578787
f9,158.23581048051585,470.43178797644634,-312.1959774959305,-66.36370786906976,312.1959774959305
f8,158.63241014073452,445.25898494237157,-286.62657480163705,-64.37300189208628,286.62657480163705
f14,0.013797877815022896,112.80592665091507,-112.79212877310005,-99.98776848147551,112.79212877310005
f16,25.108930442879654,55.990587226284134,-30.88165678340448,-55.15508644086419,30.88165678340448
f12,25.54087133262637,41.82770249429376,-16.28683116166739,-38.93790524088499,16.28683116166739
f15,0.6822624049856003,6.12810860598294,-5.44584620099734,-88.86667242940995,5.44584620099734
f22,2.6811162364266683,5.2876958224543085,-2.60657958602764,-49.29518780105971,2.60657958602764
f13,0.003682545677730041,1.0738256377397781,-1.070143092062048,-99.65706297667829,1.070143092062048
f19,1.7138142762855257,2.0047803824305945,-0.2909661061450688,-14.513614992196883,0.2909661061450688
f3,0.30958,0.03412,0.27546000000000004,807.3270808909732,0.27546000000000004
f2,0.46368,0.2592,0.20448,78.8888888888889,0.20448
f23,1.1754807692307692,1.2724054934163953,-0.09692472418562614,-7.617439934606403,0.09692472418562614
f20,1.1661897997158808,1.262002880691366,-0.09581308097548513,-7.592144395343665,0.09581308097548513
f11,0.05804105245378321,0.014145300162931971,0.043895752290851235,310.32040172523796,0.043895752290851235
