Feature,Promoted,Demoted,Difference,PercentDifference,AbsDifference
f4,161355.56622488148,51376.66237361649,109978.90385126499,214.0639324748012,109978.90385126499
f21,41866.33034970314,64032.66140275282,-22166.331053049682,-34.61722590855287,22166.331053049682
f7,2511.3860352906813,21028.918937802,-18517.532902511317,-88.0574648524791,18517.532902511317
f6,717.0501977283265,11792.6669967444,-11075.616799016074,-93.91952475274438,11075.616799016074
f17,18239.65587903408,27205.12377404753,-8965.467895013451,-32.95507114570126,8965.467895013451
f18,16283.606964443139,25038.643454749516,-8755.036490306376,-34.96609752892047,8755.036490306376
f1,6047.9349547506,9.46948618434966,6038.46546856625,63767.61474710315,6038.46546856625
f10,424.0399232498841,4076.9804591268,-3652.940535876916,-89.59916714095058,3652.940535876916
f9,122.82795453871118,1518.8033519659998,-1395.9753974272887,-91.91284675664446,1395.9753974272887
f8,124.42301954473805,1450.0740019868,-1325.650982442062,-91.41954001145724,1325.650982442062
f5,3246.4749499594786,3418.634793694285,-172.15984373480615,-5.035923815329943,172.15984373480615
f14,9.054345335847664,121.62674990299806,-112.57240456715039,-92.55562995552471,112.57240456715039
f12,23.85789541862775,41.37632583792957,-17.518430419301822,-42.33926059051556,17.518430419301822
f16,46.527759921299236,63.35843622705332,-16.830676305754082,-26.564223026968552,16.830676305754082
f15,2.0093672494721955,7.283065661313226,-5.27369841184103,-72.4104196925518,5.27369841184103
f13,0.15274560846127042,1.2948658973179463,-1.142120288856676,-88.20375076850412,1.142120288856676
f3,0.4181,0.00044,0.41766000000000003,94922.72727272728,0.41766000000000003
f22,5.0521116031043185,4.874991146681777,0.17712045642254193,3.6332467299576776,0.17712045642254193
f11,0.0927608826449268,0.005862269134561249,0.08689861351036554,1482.337496210319,0.08689861351036554
f19,1.88122,1.8021160423208464,0.07910395767915346,4.38950410636597,0.07910395767915346
f23,1.326745240253853,1.259970457902511,0.06677478235134204,5.299710158482833,0.06677478235134204
f20,1.214630048206749,1.189631377882673,0.024998670324075878,2.1013795356145493,0.024998670324075878
f2,0.08402,0.0942,-0.010180000000000008,-10.806794055201708,0.010180000000000008
