Feature,Promoted,Demoted,Difference,PercentDifference,AbsDifference
f4,89630.0004792053,48700.51869734179,40929.481781863506,84.0432153017244,40929.481781863506
f17,19455.167319502878,27029.14056751385,-7573.973248010971,-28.021509707615643,7573.973248010971
f21,38930.676337350305,46191.36172914729,-7260.685391796986,-15.718708260586759,7260.685391796986
f18,18232.0568330627,24080.347886029413,-5848.291052966713,-24.28657210704041,5848.291052966713
f6,1212.616318281111,5050.337876242319,-3837.721557961208,-75.98940213514284,3837.721557961208
f1,1467.1761675864077,139.3974888401625,1327.778678746245,952.5126240033759,1327.778678746245
f7,5287.068424234457,6149.018165543532,-861.9497413090749,-14.017680841131234,861.9497413090749
f10,648.4148146733221,1251.1165635678935,-602.7017488945714,-48.17310924058156,602.7017488945714
f5,3095.98477313995,3565.985868488395,-470.00109534844523,-13.180116598377786,470.00109534844523
f9,190.25174068795098,495.104922353581,-304.85318166563,-61.57344997025055,304.85318166563
f8,183.38777262528419,468.9741332198597,-285.5863605945755,-60.89597279786214,285.5863605945755
f14,0.004231352611940299,116.60585219999999,-116.60162084738805,-99.99637123477757,116.60162084738805
f16,26.308151899807505,56.89847585936545,-30.590323959557942,-53.76299364356839,30.590323959557942
f12,25.636525916784205,42.13863864890932,-16.502112732125116,-39.16147569364404,16.502112732125116
f15,0.6600046641791045,6.29002,-5.630015335820896,-89.50711342445486,5.630015335820896
f22,2.695102460186084,5.333209457890091,-2.6381069977040075,-49.465655128191564,2.6381069977040075
f13,0.0021688432835820894,1.10922,-1.107051156716418,-99.80447131465516,1.107051156716418
f3,0.32722,0.03522,0.29200000000000004,829.0743895513913,0.29200000000000004
f19,1.750055001100022,2.0146808808528514,-0.26462587975282936,-13.134878196730014,0.26462587975282936
f2,0.42894,0.2432,0.18574,76.37335526315789,0.18574
f23,1.180722891566265,1.275,-0.09427710843373482,-7.394283014410575,0.09427710843373482
f20,1.1739287000360101,1.2618871396851434,-0.0879584396491333,-6.9703887838242045,0.0879584396491333
f11,0.06058254976722627,0.01602459933443256,0.04455795043279371,278.05968500598107,0.04455795043279371
