Pair,Segment,Customers,PopulationShare,f1_Mean,f2_Mean,f3_Mean,f4_Mean,f5_Mean,f11_Mean,f13_Mean,f14_Mean,f15_Mean,f16_Mean,f17_Mean,f19_Mean,f20_Mean,f22_Mean,f23_Mean,category_spend_Mean,interest_revenue_Mean,interchange_revenue_Mean,rewards_breakage_Mean,expected_credit_loss_Mean,benefit_cost_Mean,servicing_cost_Mean,NetProfit_Mean,benefit_count_Mean,RetentionMultiplier_Mean,LTV_Profitability_Mean
BEST_vs_LTV,BOTH,85059,0.170118,7566.607233559941,0.01692942545762353,0.01286166072961121,172348.2459084459,4187.390621914087,0.010116170321776648,0.6288576164779741,59.02201494139362,4.838124125606932,62.80219812675263,10996.067388518557,1.7365123032248204,1.1788288129416051,4.399769571709049,0.24883904113615254,118245.77518158713,1686.0753664084682,2364.915503631743,9.851585930119828,70.40134876291663,225.83895577614896,0.7447771546808686,3763.8573742765843,2.564854983011792,1.3415849715033354,20173.8960012751
BEST_vs_LTV,BEST_ONLY,14941,0.029882,6789.814507897239,0.04417375008366241,0.15768690181380096,22863.750078475336,3626.3033795582737,0.036013493394016466,0.541329228297972,45.08378890971153,4.336322869955157,58.89537081256128,8202.851683287598,1.5867077170202797,1.1028712937554381,3.401044106820159,0.16123418780536777,61348.80929667358,1497.747326342202,1226.9761859334717,0.6527077722249179,249.44911328446355,196.09046418649876,5.046516297436584,2274.7901262795003,2.2622314436784685,1.182630340606395,10242.567196095091
BEST_vs_LTV,LTV_ONLY,14941,0.029882,874.3366120468862,0.07891038083126967,0.017067130714142294,400675.65691168595,4496.360442217544,0.0037391079445820226,0.5071280369453183,46.42010888829395,3.776253262833813,58.89866212904358,14374.693728666087,1.9445150926979453,1.2628338129977914,4.291212100930326,0.24335720500635835,41984.15137442474,196.1163436383804,839.6830274884948,27.186084981877052,9.538497473648093,187.31897180711064,2.3994377886352987,863.7285490393582,2.3484371862659796,1.3155009330883078,4587.8611497007805
BEST_vs_LTV,NEITHER,385059,0.770118,1234.9741664106723,0.2173563012421473,0.13140583650817148,25317.664838272838,3237.5175089416307,0.04002854142378181,0.4278824803471676,37.79458217104391,3.6589691449881707,49.00277826887775,9732.238521888854,1.817830514284824,1.1963075788385675,3.5465058601409134,0.13696342638400869,18353.924085339288,262.6550085830316,367.07848170678574,1.2769104190929506,78.38842352672575,163.0760216321026,8.71905344375797,380.8269021063239,2.124245894784955,1.1626643185236072,1835.4050654038265
BEST_vs_PROFIT,BOTH,84422,0.168844,8059.593237267369,0.018549667148373646,0.04003695719125346,173505.55292173842,4200.642085441209,0.012106927662220747,0.5802871289474307,54.64798770462675,4.608538058799839,62.087593395183724,10681.253121224325,1.7213522541517614,1.1742436805572007,4.335824785008647,0.24572978607471985,115199.1903869631,1803.466500634153,2303.9838077392624,9.963506456337063,87.61157550302389,214.8780084291796,1.4646656084906777,3813.459565289058,2.4788799128189334,1.3132514470315155,20087.00441078952
BEST_vs_PROFIT,BEST_ONLY,15578,0.031156,4149.934713395934,0.034279111567595326,0.004493516497624856,22704.515977018873,3577.433018760606,0.024165996219026833,0.8081268455514187,69.35794331749905,5.601039928103736,62.927788943749526,10023.144948003595,1.6749903710360765,1.1308255231737065,3.7884195660546927,0.1816664526896906,80185.76839286301,869.269384881262,1603.7153678572602,0.4223271535490757,148.86012959890957,256.70767346037553,0.9693157016305045,2066.8699611311554,2.7405315188085764,1.3426782866098186,11119.561566416902
BEST_vs_PROFIT,PROFIT_ONLY,15578,0.031156,2173.3752666752994,0.095583515213763,0.1344845294646296,391274.06762963795,4419.79898049066,0.011684818185903195,0.3513929901142637,32.1553746886635,2.955578379766337,54.78622722385904,12473.948902298112,1.8539607138271923,1.2348825266401335,3.9644370265759403,0.2316728719989729,33213.084572615226,499.0290926859423,664.2616914523046,26.694065376168314,44.51861300214773,148.84492711473078,5.751701116959815,990.8696082805768,2.028694312491976,1.197580527045595,4481.446089436049
BEST_vs_PROFIT,NEITHER,384422,0.768844,1182.930583994287,0.21691006237936433,0.12683717373095194,25076.66644818325,3238.5340779784833,0.0397666888112543,0.43406204639692836,38.35834170833095,3.692031153263861,49.153029380765325,9801.570035013605,1.8212901446847476,1.1973300175328154,3.5585138207490727,0.1372606146370395,18670.19949063722,250.49027900175588,373.4039898127443,1.253916254402161,77.08500479208737,164.5949407079006,8.593680902757907,374.8745586661565,2.13683139882733,1.1671895724421022,1835.1564305262877
LTV_vs_PROFIT,BOTH,93138,0.186276,6874.5243534137,0.02724988726405978,0.014483884128926969,214712.16900385983,4268.029713878248,0.00941930009555713,0.5782172689986901,54.53798150808478,4.562122871438081,62.16932878402457,11238.298728768064,1.7518950374712792,1.1881509158453047,4.340945693487083,0.24953295110481222,108554.69500681463,1532.9628551093742,2171.093900136292,13.002288591467096,64.2431990728519,214.0500168136151,1.0433442848246688,3437.722483665842,2.4812965706800663,1.3283348970216784,18352.26393333462
LTV_vs_PROFIT,LTV_ONLY,6862,0.013724,2388.8164925273045,0.011804138735062664,0.0,94491.7577910959,3765.611889444832,0.00568967806761877,1.0511512678519381,92.4450443165258,6.272223841445642,62.8927626125054,15064.722821334888,1.9806178956572429,1.2352083940542116,4.961818711745846,0.22748469833867677,83734.39424529292,520.105578907324,1674.6878849058585,4.830397626380793,21.466036131072972,301.9787279433127,0.2951034683765666,1875.8839938968008,3.227776158554357,1.4646342019191974,10962.61952597176
